@ HyperIMU -ianovir - 2018
@ Date:Mon Nov 25 07:27:40 GMT+00:00 2019, Sampling Rate:100ms

LIS3DH_Accelerometer.x,LIS3DH_Accelerometer.y,LIS3DH_Accelerometer.z,L3GD20_Gyroscope.x,L3GD20_Gyroscope.y,L3GD20_Gyroscope.z,AK8963_Magnetometer.x,AK8963_Magnetometer.y,AK8963_Magnetometer.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,Rotation_Vector.x,Rotation_Vector.y,Rotation_Vector.z,Orientation.x,Orientation.y,Orientation.z
-0.15690613,0.17651367,10.042007,1.8310547E-4,-0.014007568,0.016784668,14.776611,-1.0604858,-29.649353,0.052351534,0.0035987645,-0.041409492,0.0011983716,0.010788694,0.7259778,266.88586,-0.992084,-0.7504432
-0.07846069,0.19613647,9.924332,0.008728027,-0.0018005371,-0.016174316,13.195801,-1.9454956,-30.847168,0.030675925,0.015428454,-0.060696602,0.0022589853,0.010325181,0.72568977,266.93506,-1.0368199,-0.6261169
-0.19613647,0.23536682,9.885101,0.08201599,0.011642456,-0.00642395,15.83252,-1.7684937,-31.70166,-0.08277107,0.018391818,-0.11588669,0.0033449628,0.011770259,0.7259117,266.8944,-1.2428573,-0.6492911
-0.07846069,0.3530426,10.100845,0.25306702,0.026275635,0.068115234,14.250183,-1.5914917,-30.162048,0.0591159,0.010256827,0.08108044,0.006744243,0.017143471,0.72713834,266.6719,-1.9593797,-0.7861917
-0.039230347,0.60801697,10.179306,0.37400818,0.039718628,0.040008545,13.722229,-1.0604858,-32.728577,0.10844298,0.032218695,0.15049648,0.014247768,0.025942305,0.72912115,266.29678,-3.2859964,-0.84222746
0.019607544,0.8825989,10.316589,0.36912537,0.039718628,0.02168274,15.304565,-3.7155151,-36.32202,0.18148755,-0.030044198,0.3205223,0.025203582,0.038736466,0.72928745,266.17383,-5.2166543,-0.92394584
-0.15690613,1.2944794,10.277374,0.4473114,0.020187378,0.0058135986,14.601135,-2.2994995,-36.66382,0.07376212,-0.063534856,0.35139465,0.036654267,0.053084604,0.72824043,266.19757,-7.3168716,-1.0915946
-0.2745819,1.863266,10.512726,0.90545654,0.022628784,0.032669067,14.953613,-8.670044,-40.086365,-0.10071528,-0.16803074,0.3166275,0.056180846,0.07607483,0.7296722,265.61633,-10.786805,-1.2063073
-0.07846069,2.8047028,9.4339905,1.0203094,-0.026245117,9.0026855E-4,14.776611,-19.818115,-40.59906,0.2014209,-0.08309698,-0.29132748,0.086331844,0.1158175,0.7326047,264.24445,-16.538063,-1.580281
-0.05883789,4.099182,8.590622,0.99832153,0.042160034,-0.017410278,16.358948,-27.426147,-38.71765,0.31861,-0.086957455,-0.84230137,0.1251438,0.16431962,0.73308134,262.59546,-23.78376,-1.6895318
